	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
0	LT0001_02	A1	50	1	positive control	ENSG00000149503
3	LT0001_02	A4	50	4	positive control	ENSG00000149503
14	LT0001_02	A15	50	15	negative control	negative control
25	LT0001_02	B2	50	26	negative control	negative control
48	LT0001_02	C1	50	49	positive control	ENSG00000149503
51	LT0001_02	C4	50	52	positive control	ENSG00000149503
62	LT0001_02	C15	50	63	negative control	negative control
73	LT0001_02	D2	50	74	negative control	negative control
303	LT0001_02	M16	50	304	negative control	negative control
314	LT0001_02	N3	50	315	negative control	negative control
351	LT0001_02	O16	50	352	negative control	negative control
384	LT0001_09	A1	50	1	positive control	ENSG00000149503
387	LT0001_09	A4	50	4	positive control	ENSG00000149503
398	LT0001_09	A15	50	15	negative control	negative control
409	LT0001_09	B2	50	26	negative control	negative control
432	LT0001_09	C1	50	49	positive control	ENSG00000149503
435	LT0001_09	C4	50	52	positive control	ENSG00000149503
446	LT0001_09	C15	50	63	negative control	negative control
457	LT0001_09	D2	50	74	negative control	negative control
687	LT0001_09	M16	50	304	negative control	negative control
698	LT0001_09	N3	50	315	negative control	negative control
735	LT0001_09	O16	50	352	negative control	negative control
768	LT0001_12	A1	50	1	positive control	ENSG00000149503
771	LT0001_12	A4	50	4	positive control	ENSG00000149503
782	LT0001_12	A15	50	15	negative control	negative control
793	LT0001_12	B2	50	26	negative control	negative control
816	LT0001_12	C1	50	49	positive control	ENSG00000149503
819	LT0001_12	C4	50	52	positive control	ENSG00000149503
830	LT0001_12	C15	50	63	negative control	negative control
841	LT0001_12	D2	50	74	negative control	negative control
1071	LT0001_12	M16	50	304	negative control	negative control
1082	LT0001_12	N3	50	315	negative control	negative control
1119	LT0001_12	O16	50	352	negative control	negative control
1152	LT0002_02	A1	50	1	positive control	ENSG00000149503
1155	LT0002_02	A4	50	4	positive control	ENSG00000149503
1166	LT0002_02	A15	50	15	negative control	negative control
1177	LT0002_02	B2	50	26	negative control	negative control
1200	LT0002_02	C1	50	49	positive control	ENSG00000149503
1203	LT0002_02	C4	50	52	positive control	ENSG00000149503
1214	LT0002_02	C15	50	63	negative control	negative control
1225	LT0002_02	D2	50	74	negative control	negative control
1455	LT0002_02	M16	50	304	negative control	negative control
1466	LT0002_02	N3	50	315	negative control	negative control
1503	LT0002_02	O16	50	352	negative control	negative control
1536	LT0002_24	A1	50	1	positive control	ENSG00000149503
1539	LT0002_24	A4	50	4	positive control	ENSG00000149503
1550	LT0002_24	A15	50	15	negative control	negative control
1561	LT0002_24	B2	50	26	negative control	negative control
1584	LT0002_24	C1	50	49	positive control	ENSG00000149503
1587	LT0002_24	C4	50	52	positive control	ENSG00000149503
1598	LT0002_24	C15	50	63	negative control	negative control
1609	LT0002_24	D2	50	74	negative control	negative control
1839	LT0002_24	M16	50	304	negative control	negative control
1850	LT0002_24	N3	50	315	negative control	negative control
1887	LT0002_24	O16	50	352	negative control	negative control
1920	LT0002_51	A1	50	1	positive control	ENSG00000149503
1923	LT0002_51	A4	50	4	positive control	ENSG00000149503
1934	LT0002_51	A15	50	15	negative control	negative control
1945	LT0002_51	B2	50	26	negative control	negative control
1968	LT0002_51	C1	50	49	positive control	ENSG00000149503
1971	LT0002_51	C4	50	52	positive control	ENSG00000149503
1982	LT0002_51	C15	50	63	negative control	negative control
1993	LT0002_51	D2	50	74	negative control	negative control
2223	LT0002_51	M16	50	304	negative control	negative control
2234	LT0002_51	N3	50	315	negative control	negative control
2271	LT0002_51	O16	50	352	negative control	negative control
2304	LT0003_02	A1	50	1	positive control	ENSG00000149503
2307	LT0003_02	A4	50	4	positive control	ENSG00000149503
2318	LT0003_02	A15	50	15	negative control	negative control
2329	LT0003_02	B2	50	26	negative control	negative control
2352	LT0003_02	C1	50	49	positive control	ENSG00000149503
2355	LT0003_02	C4	50	52	positive control	ENSG00000149503
2366	LT0003_02	C15	50	63	negative control	negative control
2377	LT0003_02	D2	50	74	negative control	negative control
2607	LT0003_02	M16	50	304	negative control	negative control
2618	LT0003_02	N3	50	315	negative control	negative control
2655	LT0003_02	O16	50	352	negative control	negative control
2688	LT0003_15	A1	50	1	positive control	ENSG00000149503
2691	LT0003_15	A4	50	4	positive control	ENSG00000149503
2702	LT0003_15	A15	50	15	negative control	negative control
2713	LT0003_15	B2	50	26	negative control	negative control
2736	LT0003_15	C1	50	49	positive control	ENSG00000149503
2739	LT0003_15	C4	50	52	positive control	ENSG00000149503
2750	LT0003_15	C15	50	63	negative control	negative control
2761	LT0003_15	D2	50	74	negative control	negative control
2991	LT0003_15	M16	50	304	negative control	negative control
3002	LT0003_15	N3	50	315	negative control	negative control
3039	LT0003_15	O16	50	352	negative control	negative control
3072	LT0003_40	A1	50	1	positive control	ENSG00000149503
3075	LT0003_40	A4	50	4	positive control	ENSG00000149503
3086	LT0003_40	A15	50	15	negative control	negative control
3097	LT0003_40	B2	50	26	negative control	negative control
3120	LT0003_40	C1	50	49	positive control	ENSG00000149503
3123	LT0003_40	C4	50	52	positive control	ENSG00000149503
3134	LT0003_40	C15	50	63	negative control	negative control
3145	LT0003_40	D2	50	74	negative control	negative control
3375	LT0003_40	M16	50	304	negative control	negative control
3386	LT0003_40	N3	50	315	negative control	negative control
3423	LT0003_40	O16	50	352	negative control	negative control
3456	LT0004_06	A1	50	1	positive control	ENSG00000149503
3459	LT0004_06	A4	50	4	positive control	ENSG00000149503
3470	LT0004_06	A15	50	15	negative control	negative control
3481	LT0004_06	B2	50	26	negative control	negative control
3504	LT0004_06	C1	50	49	positive control	ENSG00000149503
3507	LT0004_06	C4	50	52	positive control	ENSG00000149503
3518	LT0004_06	C15	50	63	negative control	negative control
3529	LT0004_06	D2	50	74	negative control	negative control
3759	LT0004_06	M16	50	304	negative control	negative control
3770	LT0004_06	N3	50	315	negative control	negative control
3807	LT0004_06	O16	50	352	negative control	negative control
3840	LT0004_11	A1	50	1	positive control	ENSG00000149503
3843	LT0004_11	A4	50	4	positive control	ENSG00000149503
3854	LT0004_11	A15	50	15	negative control	negative control
3865	LT0004_11	B2	50	26	negative control	negative control
3888	LT0004_11	C1	50	49	positive control	ENSG00000149503
3891	LT0004_11	C4	50	52	positive control	ENSG00000149503
3902	LT0004_11	C15	50	63	negative control	negative control
3913	LT0004_11	D2	50	74	negative control	negative control
4143	LT0004_11	M16	50	304	negative control	negative control
4154	LT0004_11	N3	50	315	negative control	negative control
4191	LT0004_11	O16	50	352	negative control	negative control
4224	LT0004_47	A1	50	1	positive control	ENSG00000149503
4227	LT0004_47	A4	50	4	positive control	ENSG00000149503
4238	LT0004_47	A15	50	15	negative control	negative control
4249	LT0004_47	B2	50	26	negative control	negative control
4272	LT0004_47	C1	50	49	positive control	ENSG00000149503
4275	LT0004_47	C4	50	52	positive control	ENSG00000149503
4286	LT0004_47	C15	50	63	negative control	negative control
4297	LT0004_47	D2	50	74	negative control	negative control
4527	LT0004_47	M16	50	304	negative control	negative control
4538	LT0004_47	N3	50	315	negative control	negative control
4575	LT0004_47	O16	50	352	negative control	negative control
4608	LT0005_06	A1	50	1	positive control	ENSG00000149503
4611	LT0005_06	A4	50	4	positive control	ENSG00000149503
4622	LT0005_06	A15	50	15	negative control	negative control
4633	LT0005_06	B2	50	26	negative control	negative control
4656	LT0005_06	C1	50	49	positive control	ENSG00000149503
4659	LT0005_06	C4	50	52	positive control	ENSG00000149503
4670	LT0005_06	C15	50	63	negative control	negative control
4681	LT0005_06	D2	50	74	negative control	negative control
4922	LT0005_06	N3	50	315	negative control	negative control
4959	LT0005_06	O16	50	352	negative control	negative control
4970	LT0005_06	P3	50	363	negative control	negative control
4992	LT0005_44	A1	50	1	positive control	ENSG00000149503
4995	LT0005_44	A4	50	4	positive control	ENSG00000149503
5006	LT0005_44	A15	50	15	negative control	negative control
5017	LT0005_44	B2	50	26	negative control	negative control
5040	LT0005_44	C1	50	49	positive control	ENSG00000149503
5043	LT0005_44	C4	50	52	positive control	ENSG00000149503
5054	LT0005_44	C15	50	63	negative control	negative control
5306	LT0005_44	N3	50	315	negative control	negative control
5343	LT0005_44	O16	50	352	negative control	negative control
5376	LT0005_47	A1	50	1	positive control	ENSG00000149503
5379	LT0005_47	A4	50	4	positive control	ENSG00000149503
5390	LT0005_47	A15	50	15	negative control	negative control
5401	LT0005_47	B2	50	26	negative control	negative control
5424	LT0005_47	C1	50	49	positive control	ENSG00000149503
5427	LT0005_47	C4	50	52	positive control	ENSG00000149503
5438	LT0005_47	C15	50	63	negative control	negative control
5449	LT0005_47	D2	50	74	negative control	negative control
5690	LT0005_47	N3	50	315	negative control	negative control
5727	LT0005_47	O16	50	352	negative control	negative control
5760	LT0006_10	A1	50	1	positive control	ENSG00000149503
5763	LT0006_10	A4	50	4	positive control	ENSG00000149503
5774	LT0006_10	A15	50	15	negative control	negative control
5785	LT0006_10	B2	50	26	negative control	negative control
5808	LT0006_10	C1	50	49	positive control	ENSG00000149503
5811	LT0006_10	C4	50	52	positive control	ENSG00000149503
5822	LT0006_10	C15	50	63	negative control	negative control
5833	LT0006_10	D2	50	74	negative control	negative control
6063	LT0006_10	M16	50	304	negative control	negative control
6074	LT0006_10	N3	50	315	negative control	negative control
6111	LT0006_10	O16	50	352	negative control	negative control
6144	LT0006_26	A1	50	1	positive control	ENSG00000149503
6147	LT0006_26	A4	50	4	positive control	ENSG00000149503
6158	LT0006_26	A15	50	15	negative control	negative control
6169	LT0006_26	B2	50	26	negative control	negative control
6192	LT0006_26	C1	50	49	positive control	ENSG00000149503
6195	LT0006_26	C4	50	52	positive control	ENSG00000149503
6206	LT0006_26	C15	50	63	negative control	negative control
6217	LT0006_26	D2	50	74	negative control	negative control
6447	LT0006_26	M16	50	304	negative control	negative control
6458	LT0006_26	N3	50	315	negative control	negative control
6495	LT0006_26	O16	50	352	negative control	negative control
6528	LT0006_44	A1	50	1	positive control	ENSG00000149503
6531	LT0006_44	A4	50	4	positive control	ENSG00000149503
6542	LT0006_44	A15	50	15	negative control	negative control
6553	LT0006_44	B2	50	26	negative control	negative control
6576	LT0006_44	C1	50	49	positive control	ENSG00000149503
6579	LT0006_44	C4	50	52	positive control	ENSG00000149503
6590	LT0006_44	C15	50	63	negative control	negative control
6601	LT0006_44	D2	50	74	negative control	negative control
6831	LT0006_44	M16	50	304	negative control	negative control
6842	LT0006_44	N3	50	315	negative control	negative control
6879	LT0006_44	O16	50	352	negative control	negative control
6912	LT0007_08	A1	50	1	positive control	ENSG00000149503
6915	LT0007_08	A4	50	4	positive control	ENSG00000149503
6926	LT0007_08	A15	50	15	negative control	negative control
6937	LT0007_08	B2	50	26	negative control	negative control
6960	LT0007_08	C1	50	49	positive control	ENSG00000149503
6963	LT0007_08	C4	50	52	positive control	ENSG00000149503
6974	LT0007_08	C15	50	63	negative control	negative control
6985	LT0007_08	D2	50	74	negative control	negative control
7215	LT0007_08	M16	50	304	negative control	negative control
7226	LT0007_08	N3	50	315	negative control	negative control
7263	LT0007_08	O16	50	352	negative control	negative control
7296	LT0007_10	A1	50	1	positive control	ENSG00000149503
7299	LT0007_10	A4	50	4	positive control	ENSG00000149503
7310	LT0007_10	A15	50	15	negative control	negative control
7321	LT0007_10	B2	50	26	negative control	negative control
7344	LT0007_10	C1	50	49	positive control	ENSG00000149503
7347	LT0007_10	C4	50	52	positive control	ENSG00000149503
7358	LT0007_10	C15	50	63	negative control	negative control
7369	LT0007_10	D2	50	74	negative control	negative control
7599	LT0007_10	M16	50	304	negative control	negative control
7610	LT0007_10	N3	50	315	negative control	negative control
7647	LT0007_10	O16	50	352	negative control	negative control
7680	LT0007_20	A1	50	1	positive control	ENSG00000149503
7683	LT0007_20	A4	50	4	positive control	ENSG00000149503
7694	LT0007_20	A15	50	15	negative control	negative control
7705	LT0007_20	B2	50	26	negative control	negative control
7728	LT0007_20	C1	50	49	positive control	ENSG00000149503
7731	LT0007_20	C4	50	52	positive control	ENSG00000149503
7742	LT0007_20	C15	50	63	negative control	negative control
7753	LT0007_20	D2	50	74	negative control	negative control
7983	LT0007_20	M16	50	304	negative control	negative control
7994	LT0007_20	N3	50	315	negative control	negative control
8031	LT0007_20	O16	50	352	negative control	negative control
8064	LT0007_26	A1	50	1	positive control	ENSG00000149503
8067	LT0007_26	A4	50	4	positive control	ENSG00000149503
8078	LT0007_26	A15	50	15	negative control	negative control
8089	LT0007_26	B2	50	26	negative control	negative control
8112	LT0007_26	C1	50	49	positive control	ENSG00000149503
8115	LT0007_26	C4	50	52	positive control	ENSG00000149503
8126	LT0007_26	C15	50	63	negative control	negative control
8137	LT0007_26	D2	50	74	negative control	negative control
8367	LT0007_26	M16	50	304	negative control	negative control
8378	LT0007_26	N3	50	315	negative control	negative control
8415	LT0007_26	O16	50	352	negative control	negative control
8448	LT0008_07	A1	50	1	positive control	ENSG00000149503
8451	LT0008_07	A4	50	4	positive control	ENSG00000149503
8462	LT0008_07	A15	50	15	negative control	negative control
8473	LT0008_07	B2	50	26	negative control	negative control
8496	LT0008_07	C1	50	49	positive control	ENSG00000149503
8499	LT0008_07	C4	50	52	positive control	ENSG00000149503
8510	LT0008_07	C15	50	63	negative control	negative control
8521	LT0008_07	D2	50	74	negative control	negative control
8751	LT0008_07	M16	50	304	negative control	negative control
8762	LT0008_07	N3	50	315	negative control	negative control
8799	LT0008_07	O16	50	352	negative control	negative control
8832	LT0008_14	A1	50	1	positive control	ENSG00000149503
8835	LT0008_14	A4	50	4	positive control	ENSG00000149503
8846	LT0008_14	A15	50	15	negative control	negative control
8857	LT0008_14	B2	50	26	negative control	negative control
8880	LT0008_14	C1	50	49	positive control	ENSG00000149503
8883	LT0008_14	C4	50	52	positive control	ENSG00000149503
8894	LT0008_14	C15	50	63	negative control	negative control
8905	LT0008_14	D2	50	74	negative control	negative control
9146	LT0008_14	N3	50	315	negative control	negative control
9183	LT0008_14	O16	50	352	negative control	negative control
9600	LT0008_31	A1	50	1	positive control	ENSG00000149503
9603	LT0008_31	A4	50	4	positive control	ENSG00000149503
9614	LT0008_31	A15	50	15	negative control	negative control
9625	LT0008_31	B2	50	26	negative control	negative control
9648	LT0008_31	C1	50	49	positive control	ENSG00000149503
9651	LT0008_31	C4	50	52	positive control	ENSG00000149503
9662	LT0008_31	C15	50	63	negative control	negative control
9673	LT0008_31	D2	50	74	negative control	negative control
9903	LT0008_31	M16	50	304	negative control	negative control
9914	LT0008_31	N3	50	315	negative control	negative control
9951	LT0008_31	O16	50	352	negative control	negative control
9984	LT0009_05	A1	50	1	positive control	ENSG00000149503
9987	LT0009_05	A4	50	4	positive control	ENSG00000149503
9998	LT0009_05	A15	50	15	negative control	negative control
10009	LT0009_05	B2	50	26	negative control	negative control
10032	LT0009_05	C1	50	49	positive control	ENSG00000149503
10035	LT0009_05	C4	50	52	positive control	ENSG00000149503
10046	LT0009_05	C15	50	63	negative control	negative control
10057	LT0009_05	D2	50	74	negative control	negative control
10287	LT0009_05	M16	50	304	negative control	negative control
10298	LT0009_05	N3	50	315	negative control	negative control
10335	LT0009_05	O16	50	352	negative control	negative control
10368	LT0009_07	A1	50	1	positive control	ENSG00000149503
10371	LT0009_07	A4	50	4	positive control	ENSG00000149503
10382	LT0009_07	A15	50	15	negative control	negative control
10393	LT0009_07	B2	50	26	negative control	negative control
10416	LT0009_07	C1	50	49	positive control	ENSG00000149503
10419	LT0009_07	C4	50	52	positive control	ENSG00000149503
10430	LT0009_07	C15	50	63	negative control	negative control
10441	LT0009_07	D2	50	74	negative control	negative control
10671	LT0009_07	M16	50	304	negative control	negative control
10682	LT0009_07	N3	50	315	negative control	negative control
10719	LT0009_07	O16	50	352	negative control	negative control
10752	LT0009_14	A1	50	1	positive control	ENSG00000149503
10755	LT0009_14	A4	50	4	positive control	ENSG00000149503
10766	LT0009_14	A15	50	15	negative control	negative control
10777	LT0009_14	B2	50	26	negative control	negative control
10800	LT0009_14	C1	50	49	positive control	ENSG00000149503
10814	LT0009_14	C15	50	63	negative control	negative control
10825	LT0009_14	D2	50	74	negative control	negative control
11055	LT0009_14	M16	50	304	negative control	negative control
11066	LT0009_14	N3	50	315	negative control	negative control
11103	LT0009_14	O16	50	352	negative control	negative control
11136	LT0010_06	A1	50	1	positive control	ENSG00000149503
11139	LT0010_06	A4	50	4	positive control	ENSG00000149503
11150	LT0010_06	A15	50	15	negative control	negative control
11161	LT0010_06	B2	50	26	negative control	negative control
11184	LT0010_06	C1	50	49	positive control	ENSG00000149503
11187	LT0010_06	C4	50	52	positive control	ENSG00000149503
11198	LT0010_06	C15	50	63	negative control	negative control
11209	LT0010_06	D2	50	74	negative control	negative control
11439	LT0010_06	M16	50	304	negative control	negative control
11450	LT0010_06	N3	50	315	negative control	negative control
11487	LT0010_06	O16	50	352	negative control	negative control
11520	LT0010_26	A1	50	1	positive control	ENSG00000149503
11523	LT0010_26	A4	50	4	positive control	ENSG00000149503
11534	LT0010_26	A15	50	15	negative control	negative control
11545	LT0010_26	B2	50	26	negative control	negative control
11568	LT0010_26	C1	50	49	positive control	ENSG00000149503
11571	LT0010_26	C4	50	52	positive control	ENSG00000149503
11582	LT0010_26	C15	50	63	negative control	negative control
11593	LT0010_26	D2	50	74	negative control	negative control
11823	LT0010_26	M16	50	304	negative control	negative control
11834	LT0010_26	N3	50	315	negative control	negative control
11871	LT0010_26	O16	50	352	negative control	negative control
11904	LT0010_27	A1	50	1	positive control	ENSG00000149503
11907	LT0010_27	A4	50	4	positive control	ENSG00000149503
11918	LT0010_27	A15	50	15	negative control	negative control
11929	LT0010_27	B2	50	26	negative control	negative control
11952	LT0010_27	C1	50	49	positive control	ENSG00000149503
11955	LT0010_27	C4	50	52	positive control	ENSG00000149503
11966	LT0010_27	C15	50	63	negative control	negative control
11977	LT0010_27	D2	50	74	negative control	negative control
12207	LT0010_27	M16	50	304	negative control	negative control
12218	LT0010_27	N3	50	315	negative control	negative control
12255	LT0010_27	O16	50	352	negative control	negative control
12288	LT0011_07	A1	50	1	positive control	ENSG00000149503
12291	LT0011_07	A4	50	4	positive control	ENSG00000149503
12302	LT0011_07	A15	50	15	negative control	negative control
12313	LT0011_07	B2	50	26	negative control	negative control
12336	LT0011_07	C1	50	49	positive control	ENSG00000149503
12339	LT0011_07	C4	50	52	positive control	ENSG00000149503
12350	LT0011_07	C15	50	63	negative control	negative control
12361	LT0011_07	D2	50	74	negative control	negative control
12591	LT0011_07	M16	50	304	negative control	negative control
12602	LT0011_07	N3	50	315	negative control	negative control
12639	LT0011_07	O16	50	352	negative control	negative control
12672	LT0011_26	A1	50	1	positive control	ENSG00000149503
12675	LT0011_26	A4	50	4	positive control	ENSG00000149503
12686	LT0011_26	A15	50	15	negative control	negative control
12697	LT0011_26	B2	50	26	negative control	negative control
12720	LT0011_26	C1	50	49	positive control	ENSG00000149503
12723	LT0011_26	C4	50	52	positive control	ENSG00000149503
12734	LT0011_26	C15	50	63	negative control	negative control
12745	LT0011_26	D2	50	74	negative control	negative control
12975	LT0011_26	M16	50	304	negative control	negative control
12986	LT0011_26	N3	50	315	negative control	negative control
13023	LT0011_26	O16	50	352	negative control	negative control
13056	LT0011_30	A1	50	1	positive control	ENSG00000149503
13059	LT0011_30	A4	50	4	positive control	ENSG00000149503
13070	LT0011_30	A15	50	15	negative control	negative control
13081	LT0011_30	B2	50	26	negative control	negative control
13104	LT0011_30	C1	50	49	positive control	ENSG00000149503
13107	LT0011_30	C4	50	52	positive control	ENSG00000149503
13118	LT0011_30	C15	50	63	negative control	negative control
13129	LT0011_30	D2	50	74	negative control	negative control
13359	LT0011_30	M16	50	304	negative control	negative control
13370	LT0011_30	N3	50	315	negative control	negative control
13407	LT0011_30	O16	50	352	negative control	negative control
13440	LT0012_25	A1	50	1	positive control	ENSG00000149503
13443	LT0012_25	A4	50	4	positive control	ENSG00000149503
13454	LT0012_25	A15	50	15	negative control	negative control
13465	LT0012_25	B2	50	26	negative control	negative control
13488	LT0012_25	C1	50	49	positive control	ENSG00000149503
13491	LT0012_25	C4	50	52	positive control	ENSG00000149503
13502	LT0012_25	C15	50	63	negative control	negative control
13513	LT0012_25	D2	50	74	negative control	negative control
13743	LT0012_25	M16	50	304	negative control	negative control
13754	LT0012_25	N3	50	315	negative control	negative control
13791	LT0012_25	O16	50	352	negative control	negative control
13824	LT0012_27	A1	50	1	positive control	ENSG00000149503
