	Plate	Well	Frames	Well Number	Control Type	Original Gene Target	Plate_Map_Name	Gene_Replicate	Site	DNA
0	LT0001_02	A4	50	4	positive control	ENSG00000149503	LT0001_02_4	1	1	LT0001_02/LT0001_02_4_50.tif
1	LT0001_02	A15	50	15	negative control	negative control	LT0001_02_15	1	1	LT0001_02/LT0001_02_15_50.tif
2	LT0001_02	B2	50	26	negative control	negative control	LT0001_02_26	1	1	LT0001_02/LT0001_02_26_50.tif
3	LT0001_02	C1	50	49	positive control	ENSG00000149503	LT0001_02_49	1	1	LT0001_02/LT0001_02_49_50.tif
4	LT0001_02	C4	50	52	positive control	ENSG00000149503	LT0001_02_52	1	1	LT0001_02/LT0001_02_52_50.tif
5	LT0001_02	C15	50	63	negative control	negative control	LT0001_02_63	1	1	LT0001_02/LT0001_02_63_50.tif
6	LT0001_02	D2	50	74	negative control	negative control	LT0001_02_74	1	1	LT0001_02/LT0001_02_74_50.tif
7	LT0001_02	M16	50	304	negative control	negative control	LT0001_02_304	1	1	LT0001_02/LT0001_02_304_50.tif
8	LT0001_02	N3	50	315	negative control	negative control	LT0001_02_315	1	1	LT0001_02/LT0001_02_315_50.tif
9	LT0001_02	O16	50	352	negative control	negative control	LT0001_02_352	1	1	LT0001_02/LT0001_02_352_50.tif
10	LT0001_09	A4	50	4	positive control	ENSG00000149503	LT0001_09_4	1	1	LT0001_09/LT0001_09_4_50.tif
11	LT0001_09	A15	50	15	negative control	negative control	LT0001_09_15	1	1	LT0001_09/LT0001_09_15_50.tif
12	LT0001_09	B2	50	26	negative control	negative control	LT0001_09_26	1	1	LT0001_09/LT0001_09_26_50.tif
13	LT0001_09	C1	50	49	positive control	ENSG00000149503	LT0001_09_49	1	1	LT0001_09/LT0001_09_49_50.tif
14	LT0001_09	C4	50	52	positive control	ENSG00000149503	LT0001_09_52	1	1	LT0001_09/LT0001_09_52_50.tif
15	LT0001_09	C15	50	63	negative control	negative control	LT0001_09_63	1	1	LT0001_09/LT0001_09_63_50.tif
